ticker,name,reason,sub_reason,capital_impair,loss_years,impair_first_year,last_year,last_vs_peak_pct,final_30d_pct,last_date
000030,우리은행,피인수상폐,피인수상폐,재무없음,,,2019,86.3,-9.5,2019-02-12
000060,메리츠화재해상보험,피인수상폐,피인수상폐,정상,0.0,,2023,91.8,10.4,2023-02-20
000360,삼환기업,자진상폐,자진상폐,완전자본잠식,1.0,,2015,40.9,-16.0,2015-04-14
000420,로케트전기,부실상폐,완전자본잠식,완전자본잠식,1.0,2015.0,2015,2.8,-94.6,2015-02-23
000470,그린손해보험,부실상폐,소형·재무자료없음,재무없음,,,2012,2.3,-91.2,2012-07-13
000800,경남기업,부실상폐,완전자본잠식,완전자본잠식,1.0,,2015,2.1,-97.5,2015-04-14
000830,삼성물산,자진상폐,자진상폐,재무없음,,,2015,62.6,-15.0,2015-09-14
001140,국보,부실상폐,부분자본잠식,부분자본잠식,3.0,2021.0,2026,0.7,-99.3,2026-01-26
001300,제일모직,자진상폐,자진상폐,재무없음,,,2014,73.5,4.5,2014-07-14
001310,풍림산업,부실상폐,소형·재무자료없음,재무없음,,,2012,5.3,-92.2,2012-05-17
001600,서광건설산업,부실상폐,소형·재무자료없음,재무없음,,,2010,5.4,-93.7,2010-04-14
001880,디엘건설,피인수상폐,피인수상폐,정상,0.0,,2024,90.8,1.3,2024-02-29
002000,생고뱅코리아홀딩스,자진상폐,자진상폐,정상,0.0,,2018,61.4,-31.0,2018-12-12
002250,알보젠코리아,피인수상폐,피인수상폐,정상,0.0,,2019,99.1,0.0,2019-05-17
002270,롯데푸드,자진상폐,자진상폐,정상,1.0,,2022,68.4,-2.2,2022-07-19
002300,한국제지,피인수상폐,피인수상폐,정상,2.0,,2020,98.0,12.5,2020-07-10
002530,벽산건설,부실상폐,소형·재무자료없음,재무없음,,,2014,0.1,-99.5,2014-04-24
002540,고제,부실상폐,소형·재무자료없음,재무없음,,,2010,1.7,-91.9,2010-04-22
002550,KB손해보험,피인수상폐,피인수상폐,재무없음,,,2017,99.7,2.8,2017-07-20
002670,미주제강,부실상폐,소형·재무자료없음,재무없음,,,2012,7.5,-80.9,2012-04-16
003190,알앤엘재생의학연구소,부실상폐,소형·재무자료없음,재무없음,,,2013,5.2,-79.2,2013-05-02
003410,쌍용씨앤이,피인수상폐,피인수상폐,정상,0.0,,2024,99.7,-0.1,2024-07-08
003450,케이비증권,피인수상폐,피인수상폐,재무없음,,,2016,97.9,1.7,2016-10-31
003560,아이에이치큐,부실상폐,부분자본잠식,부분자본잠식,1.0,2022.0,2026,2.3,-97.7,2026-01-14
003600,SK,피인수상폐,피인수상폐,재무없음,,,2015,88.8,0.7,2015-08-13
003640,유니온스틸,자진상폐,자진상폐,재무없음,,,2015,67.1,-0.5,2015-01-15
003940,삼양제넥스,피인수상폐,피인수상폐,재무없음,,,2016,83.1,10.1,2016-01-20
004010,롯데미도파,자진상폐,자진상폐,재무없음,,,2013,78.9,3.8,2013-01-21
004130,대덕GDS,자진상폐,자진상폐,정상,0.0,,2018,51.8,12.3,2018-12-18
004200,고려개발,피인수상폐,피인수상폐,부분자본잠식,0.0,2017.0,2020,99.5,10.0,2020-07-20
004320,호반산업,부실상폐,완전자본잠식,완전자본잠식,1.0,2015.0,2015,1.4,-90.7,2015-04-10
004550,대우송도개발,부실상폐,소형·재무자료없음,재무없음,,,2012,2.3,-88.6,2012-06-21
004620,캠브리지코오롱,피인수상폐,피인수상폐,재무없음,,,2011,100.0,19.7,2011-05-16
004740,보루네오가구,부실상폐,부분자본잠식,부분자본잠식,2.0,2016.0,2017,5.1,-94.9,2017-07-04
004790,렉스엘이앤지,부실상폐,소형·재무자료없음,재무없음,,,2014,0.9,-94.8,2014-03-03
004820,조인에너지,부실상폐,소형·재무자료없음,재무없음,,,2010,1.1,-98.6,2010-04-14
004940,하나은행,피인수상폐,피인수상폐,재무없음,,,2013,80.2,-5.1,2013-04-25
005190,동성화학,피인수상폐,피인수상폐,정상,0.0,,2021,100.0,11.2,2021-04-15
005270,아이엠뱅크,피인수상폐,피인수상폐,재무없음,,,2011,85.6,-6.9,2011-06-03
005280,부산은행,피인수상폐,피인수상폐,재무없음,,,2011,92.0,4.0,2011-03-29
005350,심팩인더스트리,부실상폐,소형·재무자료없음,재무없음,,,2011,1.7,-93.6,2011-04-14
005390,신성통상,피인수상폐,피인수상폐,정상,0.0,,2025,97.4,1.0,2025-09-29
005450,신한,부실상폐,부분자본잠식,부분자본잠식,2.0,2019.0,2020,6.7,-93.3,2020-06-29
005560,제이에스전선,피인수상폐,피인수상폐,재무없음,,,2014,62.6,17.0,2014-04-09
005620,대성합동지주,피인수상폐,피인수상폐,정상,2.0,,2017,93.3,7.7,2017-08-24
005900,동양건설산업,부실상폐,소형·재무자료없음,재무없음,,,2014,1.1,-97.0,2014-04-24
005980,성지건설,부실상폐,부분자본잠식,부분자본잠식,3.0,2016.0,2018,7.2,-92.3,2018-10-02
006350,전북은행,피인수상폐,피인수상폐,재무없음,,,2013,92.2,-3.1,2013-07-17
006390,한일현대시멘트,피인수상폐,피인수상폐,정상,0.0,,2025,87.0,-2.6,2025-11-20
006440,한일건설,부실상폐,소형·재무자료없음,재무없음,,,2013,1.5,-96.1,2013-04-15
006580,대양제지공업,자진상폐,자진상폐,정상,3.0,,2024,46.6,-42.1,2024-06-20
007150,동양텔레콤,부실상폐,소형·재무자료없음,재무없음,,,2012,0.1,-99.4,2012-09-10
007190,한솔아트원제지,자진상폐,자진상폐,정상,1.0,,2017,59.5,2.5,2017-03-14
007200,진흥저축은행,부실상폐,소형·재무자료없음,재무없음,,,2012,0.3,-99.2,2012-10-16
007480,대한은박지,자진상폐,자진상폐,재무없음,,,2013,53.1,6.4,2013-01-25
007490,태창기업,부실상폐,소형·재무자료없음,재무없음,,,2010,0.5,-98.8,2010-05-12
007630,폴루스바이오팜,부실상폐,적자지속,정상,3.0,,2022,3.7,-96.3,2022-02-21
007800,솔로몬저축은행,부실상폐,소형·재무자료없음,재무없음,,,2012,0.3,-99.1,2012-07-24
008000,도레이케미칼,피인수상폐,피인수상폐,정상,1.0,,2018,100.0,0.8,2018-03-19
008020,경남에너지,자진상폐,자진상폐,정상,0.0,,2016,39.2,1.0,2016-05-18
008080,에스와이코퍼레이션,부실상폐,소형·재무자료없음,재무없음,,,2013,6.7,449900.0,2013-09-24
008110,대동전자,피인수상폐,피인수상폐,정상,0.0,,2026,96.7,-3.3,2026-03-27
008320,한국기술산업,부실상폐,소형·재무자료없음,재무없음,,,2010,1.2,-98.7,2010-03-10
008340,대주코레스,부실상폐,소형·재무자료없음,재무없음,,,2010,1.6,-98.0,2010-04-12
008540,케이비물산,부실상폐,소형·재무자료없음,재무없음,,,2012,0.6,-94.7,2012-06-07
008560,메리츠증권,피인수상폐,피인수상폐,정상,0.0,,2023,86.9,-9.4,2023-04-24
008720,삼양엔텍,피인수상폐,피인수상폐,재무없음,,,2014,94.2,6.1,2014-12-29
008800,행남사,부실상폐,부분자본잠식,부분자본잠식,3.0,2017.0,2021,3.7,-96.3,2021-06-04
008900,티이씨앤코,피인수상폐,피인수상폐,정상,0.0,,2016,90.5,2.0,2016-05-16
009010,에듀언스,부실상폐,소형·재무자료없음,재무없음,,,2013,0.0,-98.2,2013-04-30
009280,다함이텍,피인수상폐,피인수상폐,재무없음,,,2013,93.3,3.4,2013-04-15
009380,아세아페이퍼텍,피인수상폐,피인수상폐,재무없음,,,2013,96.1,-0.6,2013-01-22
009720,한국전기초자,피인수상폐,피인수상폐,재무없음,,,2011,98.4,0.2,2011-02-15
010050,우리종합금융,자진상폐,자진상폐,정상,1.0,,2023,78.1,-2.1,2023-08-25
010420,한솔피엔에스,피인수상폐,피인수상폐,정상,1.0,,2025,99.4,0.5,2025-09-24
010460,화인자산관리,피인수상폐,피인수상폐,재무없음,,,2014,83.8,-12.4,2014-04-14
010520,현대하이스코,자진상폐,자진상폐,재무없음,,,2015,61.6,-5.1,2015-07-14
010600,웰바이오텍,부실상폐,부분자본잠식,부분자본잠식,3.0,2020.0,2026,2.0,-98.0,2026-01-23
010620,에이치디현대미포,피인수상폐,피인수상폐,정상,2.0,,2025,90.1,-7.7,2025-12-12
010670,나노트로닉스,부실상폐,소형·재무자료없음,재무없음,,,2014,0.4,-95.4,2014-04-10
011050,케드콤,부실상폐,소형·재무자료없음,재무없음,,,2010,0.5,-97.5,2010-07-21
