ticker,name,sector,market,status,delist_reason,total_ret,cagr,mdd,ann_vol,best_year,worst_year,med_daily_value,pattern,artifact_tier,artifact_suspect,n_over_limit,n_intmult,jump_zero_vol,zero_vol_pct,max_flat_run,last_vs_peak_pct,final_30d_pct,n_days,first_date,last_date
000020,동화약품,212,,survivor,,0.6708,0.0437,-0.7939,0.4118,2020:139%,2024:-37%,760336500.3398438,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
000040,KR모터스,319,,survivor,,-0.8284,-0.1367,-0.9667,0.924,2024:27%,2017:-62%,321146360.0,decline,watch,False,1,0,0,0.018,13,,,2941,2014-01-02,2025-12-30
000050,경방,47119,,survivor,,-0.0299,-0.0025,-0.7574,0.3814,2025:50%,2024:-26%,196797523.90429688,sideways,clean,False,0,0,0,0.009,13,,,2941,2014-01-02,2025-12-30
000070,삼양홀딩스,64992,,survivor,,0.0438,0.0036,-0.8804,0.4213,2015:79%,2018:-34%,788643717.9375,sideways,watch,False,1,0,0,0.011,17,,,2941,2014-01-02,2025-12-30
000080,하이트진로,11122,,survivor,,0.2535,0.019,-0.5585,0.2755,2019:79%,2018:-28%,4177447422.03125,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
000087,하이트진로2우B,,,survivor,,0.4913,0.0339,-0.3935,0.1798,2019:26%,2018:-16%,20249583.09375,sideways,clean,False,0,0,0,0.005,5,,,2941,2014-01-02,2025-12-30
000100,유한양행,212,KOSPI,survivor,,3.9337,0.1424,-0.4426,0.364,2024:74%,2016:-23%,10744409487.0,steady_grower,clean,False,0,0,0,0.007,4,,,2941,2014-01-02,2025-12-30
000105,유한양행우,,,survivor,,5.0216,0.1615,-0.5113,0.3392,2015:99%,2021:-15%,30926855.15234375,sideways,clean,False,0,0,0,0.033,7,,,2941,2014-01-02,2025-12-30
000120,CJ대한통운,493,,survivor,,-0.0321,-0.0027,-0.6929,0.3303,2023:36%,2024:-33%,6656668471.546875,sideways,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
000140,하이트진로홀딩스,64992,,survivor,,0.2599,0.0195,-0.646,0.3055,2019:94%,2018:-29%,184564206.69433594,sideways,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
000145,하이트진로홀딩스우,,,survivor,,1.4188,0.0764,-0.7903,0.4352,2019:112%,2018:-19%,5025038.068359375,spike,clean,False,0,0,0,0.029,6,,,2941,2014-01-02,2025-12-30
000150,두산,26221,KOSPI,survivor,,6.7364,0.186,-0.8208,0.5278,2025:208%,2019:-39%,5790127029.875,sideways,clean,False,0,0,0,0.011,12,,,2941,2014-01-02,2025-12-30
000155,두산우,,,survivor,,12.934,0.2457,-0.704,0.4268,2025:353%,2022:-38%,206435388.75,spike,clean,False,0,0,0,0.011,12,,,2941,2014-01-02,2025-12-30
000157,두산2우B,,,survivor,,11.1194,0.2313,-0.7312,0.6026,2025:336%,2019:-20%,25554653.125,spike,watch,False,1,0,0,0.053,12,,,2941,2014-01-02,2025-12-30
000180,성창기업지주,71531,,survivor,,-0.061,-0.0052,-0.8056,0.3862,2015:69%,2024:-32%,339946825.0,sideways,clean,False,0,0,0,0.011,16,,,2941,2014-01-02,2025-12-30
000210,DL,20111,,survivor,,-0.6313,-0.0798,-0.803,0.3993,2016:31%,2021:-44%,8203848398.160156,decline,watch,False,1,0,0,0.011,16,,,2941,2014-01-02,2025-12-30
000215,DL우,,,survivor,,-0.513,-0.0582,-0.8306,0.3799,2020:32%,2021:-67%,113029336.84375,decline,watch,False,1,0,0,0.012,16,,,2941,2014-01-02,2025-12-30
000220,유유제약,212,,survivor,,0.7602,0.0483,-0.7569,0.5148,2015:84%,2016:-32%,513296757.6386719,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
000225,유유제약1우,,,survivor,,4.3999,0.151,-0.837,0.602,2015:110%,2024:-23%,52135772.15332031,spike,watch,False,1,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
000227,유유제약2우B,,,survivor,,3.5794,0.1353,-0.8383,0.7068,2015:175%,2016:-30%,17487063.69921875,spike,watch,False,1,0,0,0.012,4,,,2941,2014-01-02,2025-12-30
000230,일동홀딩스,212,,survivor,,0.9868,0.0589,-0.8879,0.626,2015:76%,2023:-47%,378065766.71875,sideways,watch,False,2,0,0,0.013,23,,,2941,2014-01-02,2025-12-30
